time,counter,IMU_Accel_x,IMU_Accel_y,IMU_Accel_z,IMU_Gyro_x,IMU_Gyro_y,IMU_Gyro_z,Battery_1,Battery_2,Brake_Pedal,ca_AmpHrs,ca_Voltage,ca_Current,ca_Speed,ca_Miles,motor_temp,control_info
2024-01-03 05:03:59.842150,0,,,,,,,,,,,,,,,,
2024-01-03 05:04:00.348564,1,,,,,,,,,,,,,,,,
2024-01-03 05:04:00.854734,2,,,,,,,,,,,,,,,,
2024-01-03 05:04:01.360883,3,,,,,,,,,,,,,,,,
2024-01-03 05:04:01.866819,4,,,,,,,,,,,,,,,,
2024-01-03 05:04:02.372858,5,,,,,,,,,,,,,,,,
2024-01-03 05:04:02.878795,6,,,,,,,,,,,,,,,,
2024-01-03 05:04:03.384684,7,,,,,,,,,,,,,,,,
2024-01-03 05:04:03.890714,8,,,,,,,,,,,,,,,,
2024-01-03 05:04:04.396835,9,,,,,,,,,,,,,,,,
2024-01-03 05:04:04.902748,10,,,,,,,,,,,,,,,,
2024-01-03 05:04:05.408916,11,,,,,,,,,,,,,,,,
2024-01-03 05:04:05.914844,12,,,,,,,,,,,,,,,,
2024-01-03 05:04:06.420753,13,,,,,,,,,,,,,,,,
2024-01-03 05:04:06.926772,14,,,,,,,,,,,,,,,,
2024-01-03 05:04:07.432880,15,,,,,,,,,,,,,,,,
2024-01-03 05:04:07.939556,16,,,,,,,,,,,,,,,,
2024-01-03 05:04:08.445688,17,,,,,,,,,,,,,,,,
2024-01-03 05:04:08.951544,18,,,,,,,,,,,,,,,,
2024-01-03 05:04:09.457555,19,,,,,,,,,,,,,,,,
2024-01-03 05:04:09.963612,20,,,,,,,,,,,,,,,,
2024-01-03 05:04:10.469683,21,,,,,,,,,,,,,,,,
2024-01-03 05:04:10.975609,22,,,,,,,,,,,,,,,,
2024-01-03 05:04:11.481826,23,,,,,,,,,,,,,,,,
2024-01-03 05:04:11.987795,24,,,,,,,,,,,,,,,,
